date,article,views,day_of_week,month,regime,views_lag1,views_lag7,views_ma7,views_std7
2020-02-06,United_States,482375,3,2,viral,74389.0,57075.0,113086.57142857143,163270.6826365929
2020-02-07,United_States,59236,4,2,normal,482375.0,51786.0,114150.85714285714,162828.17626200177
2020-02-08,United_States,40867,5,2,declining,59236.0,42517.0,113915.14285714286,162950.30694911105
2020-02-09,United_States,45573,6,2,declining,40867.0,36179.0,115257.14285714286,162240.53595657338
2020-02-10,United_States,66335,0,2,normal,45573.0,52741.0,117199.14285714286,161446.92494276928
2020-02-11,United_States,80520,1,2,normal,66335.0,51619.0,121327.85714285714,159851.9824988402
2020-02-12,United_States,64013,2,2,normal,80520.0,74389.0,119845.57142857143,160406.92742507218
2020-02-13,United_States,76162,3,2,normal,64013.0,482375.0,61815.142857142855,14664.285110755261
2020-02-14,United_States,62553,4,2,normal,76162.0,59236.0,62289.0,14620.580346438417
2020-02-15,United_States,48042,5,2,declining,62553.0,40867.0,63314.0,13033.858267348465
2020-02-16,United_States,39986,6,2,declining,48042.0,45573.0,62515.857142857145,14400.706272362193
2020-02-17,United_States,61320,0,2,normal,39986.0,66335.0,61799.42857142857,14303.457505758608
2020-02-18,United_States,53628,1,2,normal,61320.0,80520.0,57957.71428571428,11835.923069400069
2020-02-19,United_States,64153,2,2,normal,53628.0,64013.0,57977.71428571428,11847.972607360161
2020-02-20,United_States,62636,3,2,normal,64153.0,76162.0,56045.42857142857,9193.675468442561
2020-02-21,United_States,69844,4,2,normal,62636.0,62553.0,57087.0,10389.09686482235
2020-02-22,United_States,38025,5,2,declining,69844.0,48042.0,55656.0,12347.830403219088
2020-02-23,United_States,47049,6,2,declining,38025.0,39986.0,56665.0,11077.142200645809
2020-02-24,United_States,50126,0,2,normal,47049.0,61320.0,55065.857142857145,11101.104801303283
2020-02-25,United_States,74694,1,2,normal,50126.0,53628.0,58075.28571428572,13286.62926547174
2020-02-26,United_States,66039,2,2,normal,74694.0,64153.0,58344.71428571428,13448.550699043995
2020-02-27,United_States,59758,3,2,normal,66039.0,62636.0,57933.57142857143,13339.040880777091
2020-02-28,United_States,60683,4,2,normal,59758.0,69844.0,56624.857142857145,12391.475476156396
2020-02-29,United_States,43407,5,2,declining,60683.0,38025.0,57393.71428571428,11149.821070526503
2020-03-01,United_States,39866,6,3,declining,43407.0,47049.0,56367.57142857143,12508.316764685374
2020-03-02,United_States,63030,0,3,normal,39866.0,50126.0,58211.0,12385.415266890659
2020-03-03,United_States,84840,1,3,normal,63030.0,74694.0,59660.42857142857,14961.614873369868
2020-03-04,United_States,65708,2,3,normal,84840.0,66039.0,59613.142857142855,14938.601077170913
2020-03-05,United_States,55291,3,3,normal,65708.0,59758.0,58975.0,15026.532999996867
2020-03-06,United_States,63561,4,3,normal,55291.0,60683.0,59386.142857142855,15120.135729423373
2020-03-07,United_States,42297,5,3,normal,63561.0,43407.0,59227.57142857143,15320.143655300444
2020-03-08,United_States,30947,6,3,declining,42297.0,39866.0,57953.42857142857,17425.063374893143
2020-03-09,United_States,68719,0,3,normal,30947.0,63030.0,58766.142857142855,17829.280322254137
2020-03-10,United_States,52622,1,3,normal,68719.0,84840.0,54163.57142857143,13643.791260217076
2020-03-11,United_States,72937,2,3,normal,52622.0,65708.0,55196.28571428572,14880.751198716085
2020-03-12,United_States,64150,3,3,normal,72937.0,55291.0,56461.857142857145,15261.98364595896
2020-03-13,United_States,77773,4,3,normal,64150.0,63561.0,58492.142857142855,17187.599351747333
2020-03-14,United_States,47991,5,3,normal,77773.0,42297.0,59305.57142857143,16410.57136784221
2020-03-15,United_States,40657,6,3,normal,47991.0,30947.0,60692.71428571428,13819.86855598695
2020-03-16,United_States,42419,0,3,normal,40657.0,68719.0,56935.57142857143,14813.434869031646
2020-03-17,United_States,58326,1,3,normal,42419.0,52622.0,57750.42857142857,14693.000395393807
2020-03-18,United_States,55880,2,3,normal,58326.0,72937.0,55313.71428571428,13080.577710410585
2020-03-19,United_States,63709,3,3,normal,55880.0,64150.0,55250.71428571428,13031.897875524126
2020-03-20,United_States,77191,4,3,normal,63709.0,77773.0,55167.57142857143,12865.04675282511
2020-03-21,United_States,43606,5,3,normal,77191.0,47991.0,54541.142857142855,13369.595075251364
2020-03-22,United_States,35055,6,3,declining,43606.0,40657.0,53740.857142857145,14462.21268718998
2020-03-23,United_States,64139,0,3,normal,35055.0,42419.0,56843.71428571428,13949.172277884096
2020-03-24,United_States,59426,1,3,normal,64139.0,58326.0,57000.857142857145,13974.826265211746
2020-03-25,United_States,45589,2,3,normal,59426.0,55880.0,55530.71428571428,14637.961705946525
2020-03-26,United_States,54000,3,3,normal,45589.0,63709.0,54143.71428571428,14186.918172671974
2020-03-27,United_States,66340,4,3,normal,54000.0,77191.0,52593.57142857143,11607.205303275034
2020-03-28,United_States,42779,5,3,normal,66340.0,43606.0,52475.42857142857,11717.614644302657
2020-03-29,United_States,32223,6,3,declining,42779.0,35055.0,52070.857142857145,12445.606606731508
2020-03-30,United_States,67275,0,3,normal,32223.0,64139.0,52518.857142857145,12996.664333955807
2020-03-31,United_States,62860,1,3,normal,67275.0,59426.0,53009.42857142857,13360.549475441097
2020-04-01,United_States,64114,2,4,normal,62860.0,45589.0,55655.857142857145,13479.919329983104
2020-04-02,United_States,66412,3,4,normal,64114.0,54000.0,57429.0,14030.881701921951
2020-04-03,United_States,72346,4,4,normal,66412.0,66340.0,58287.0,14827.629997181892
2020-04-04,United_States,47827,5,4,normal,72346.0,42779.0,59008.142857142855,14050.058569611683
2020-04-05,United_States,48682,6,4,normal,47827.0,32223.0,61359.42857142857,9442.019661370605
2020-04-06,United_States,70121,0,4,normal,48682.0,67275.0,61766.0,9793.913569150729
2020-04-07,United_States,73191,1,4,normal,70121.0,62860.0,63241.857142857145,10720.783295831752
2020-04-08,United_States,57249,2,4,normal,73191.0,64114.0,62261.142857142855,10939.471855450116
2020-04-09,United_States,53720,3,4,normal,57249.0,66412.0,60448.0,11185.864323630138
2020-04-10,United_States,64173,4,4,normal,53720.0,72346.0,59280.42857142857,10111.973296660542
2020-04-11,United_States,40061,5,4,normal,64173.0,47827.0,58171.0,11853.983929464179
2020-04-12,United_States,39731,6,4,normal,40061.0,48682.0,56892.28571428572,13426.642155484136
2020-04-13,United_States,55480,0,4,normal,39731.0,70121.0,54800.71428571428,12096.978200006142
2020-04-14,United_States,56952,1,4,normal,55480.0,73191.0,52480.857142857145,9190.344125377062
2020-04-15,United_States,51329,2,4,normal,56952.0,57249.0,51635.142857142855,8947.620827694147
2020-04-16,United_States,75377,3,4,normal,51329.0,53720.0,54729.0,12732.406148616554
2020-04-17,United_States,73464,4,4,normal,75377.0,64173.0,56056.28571428572,14272.142302568212
2020-04-18,United_States,43923,5,4,normal,73464.0,40061.0,56608.0,13610.051506147767
2020-04-19,United_States,56666,6,4,normal,43923.0,39731.0,59027.28571428572,11442.61511069141
2020-04-20,United_States,68610,0,4,normal,56666.0,55480.0,60903.0,11833.69266121081
2020-04-21,United_States,57767,1,4,normal,68610.0,56952.0,61019.42857142857,11792.277824309807
2020-04-22,United_States,49219,2,4,normal,57767.0,51329.0,60718.0,12104.10806296749
2020-04-23,United_States,62790,3,4,normal,49219.0,75377.0,58919.857142857145,10374.891733227165
2020-04-24,United_States,58749,4,4,normal,62790.0,73464.0,56817.71428571428,8199.535956672007
2020-04-25,United_States,33731,5,4,declining,58749.0,43923.0,55361.71428571428,11219.60714871176
2020-04-26,United_States,37625,6,4,declining,33731.0,56666.0,52641.57142857143,13015.203543767966
2020-04-27,United_States,78276,0,4,normal,37625.0,68610.0,54022.42857142857,15303.371043195351
2020-04-28,United_States,75316,1,4,normal,78276.0,57767.0,56529.42857142857,17323.192631624697
2020-04-29,United_States,77074,2,4,normal,75316.0,49219.0,60508.71428571428,18521.843246234697
2020-04-30,United_States,58608,3,4,normal,77074.0,62790.0,59911.28571428572,18503.432417745902
2020-05-01,United_States,66930,4,5,normal,58608.0,58749.0,61080.0,18675.350322461454
2020-05-02,United_States,45874,5,5,normal,66930.0,33731.0,62814.71428571428,16097.630557675962
2020-05-03,United_States,35754,6,5,declining,45874.0,37625.0,62547.42857142857,16593.48626075029
2020-05-04,United_States,59964,0,5,normal,35754.0,78276.0,59931.42857142857,15074.507563622405
2020-05-05,United_States,69482,1,5,normal,59964.0,75316.0,59098.0,14219.182020542823
2020-05-06,United_States,55398,2,5,normal,69482.0,77074.0,56001.42857142857,11807.786736685377
2020-05-07,United_States,56355,3,5,normal,55398.0,58608.0,55679.57142857143,11755.485384238422
2020-05-08,United_States,60973,4,5,normal,56355.0,66930.0,54828.57142857143,10996.419536332874
2020-05-09,United_States,46012,5,5,normal,60973.0,45874.0,54848.28571428572,10977.79818109067
2020-05-10,United_States,39918,6,5,normal,46012.0,35754.0,55443.142857142855,9822.737371842235
2020-05-11,United_States,85425,0,5,normal,39918.0,59964.0,59080.42857142857,15081.89695028588
2020-05-12,United_States,50005,1,5,normal,85425.0,69482.0,56298.0,14633.062153903244
2020-05-13,United_States,82586,2,5,normal,50005.0,55398.0,60182.0,17651.297402740533
2020-05-14,United_States,69864,3,5,normal,82586.0,56355.0,62111.857142857145,17899.881539911134
2020-05-15,United_States,59665,4,5,normal,69864.0,60973.0,61925.0,17920.566676307822
2020-05-16,United_States,39983,5,5,declining,59665.0,46012.0,61063.71428571428,18929.321890603733
2020-05-17,United_States,45713,6,5,normal,39983.0,39918.0,61891.57142857143,17951.885359270073
2020-05-18,United_States,63878,0,5,normal,45713.0,85425.0,58813.42857142857,14817.894709406004
2020-05-19,United_States,71262,1,5,normal,63878.0,50005.0,61850.142857142855,14889.85730207596
2020-05-20,United_States,73170,2,5,normal,71262.0,82586.0,60505.0,13011.178732151617
2020-05-21,United_States,65097,3,5,normal,73170.0,69864.0,59824.0,12556.498237964064
2020-05-22,United_States,87549,4,5,normal,65097.0,59665.0,63807.42857142857,16348.14112630877
2020-05-23,United_States,51713,5,5,normal,87549.0,39983.0,65483.142857142855,13919.925687404037
2020-05-24,United_States,40440,6,5,declining,51713.0,45713.0,64729.857142857145,15247.482671231915
2020-05-25,United_States,68612,0,5,normal,40440.0,63878.0,65406.142857142855,15308.266845385124
2020-05-26,United_States,66442,1,5,normal,68612.0,71262.0,64717.57142857143,15108.0620073867
2020-05-27,United_States,59874,2,5,normal,66442.0,73170.0,62818.142857142855,14698.543345385782
2020-05-28,United_States,67791,3,5,normal,59874.0,65097.0,63203.0,14803.05358138406
2020-05-29,United_States,58459,4,5,normal,67791.0,87549.0,59047.28571428572,10195.345861621867
2020-05-30,United_States,34756,5,5,declining,58459.0,51713.0,56624.857142857145,13655.695739977971
2020-05-31,United_States,44014,6,5,normal,34756.0,40440.0,57135.42857142857,13000.817228891532
2020-06-01,United_States,42056,0,6,normal,44014.0,68612.0,53341.71428571428,12968.288819453315
2020-06-02,United_States,58146,1,6,normal,42056.0,66442.0,52156.57142857143,11907.216437342124
2020-06-03,United_States,47399,2,6,normal,58146.0,59874.0,50374.42857142857,11485.747470338074
2020-06-04,United_States,57809,3,6,normal,47399.0,67791.0,48948.42857142857,9391.804314704978
2020-06-05,United_States,48659,4,6,normal,57809.0,58459.0,47548.42857142857,8417.726630097024
2020-06-06,United_States,37993,5,6,declining,48659.0,34756.0,48010.857142857145,7651.926063167847
2020-06-07,United_States,33629,6,6,declining,37993.0,44014.0,46527.28571428572,9369.87987675184
2020-06-08,United_States,58265,0,6,normal,33629.0,42056.0,48842.857142857145,10058.299532037572
2020-06-09,United_States,46536,1,6,normal,58265.0,58146.0,47184.28571428572,9188.15764474897
2020-06-10,United_States,49784,2,6,normal,46536.0,47399.0,47525.0,9241.511907330441
2020-06-11,United_States,49834,3,6,normal,49784.0,57809.0,46385.71428571428,8194.696205763767
2020-06-12,United_States,43531,4,6,normal,49834.0,48659.0,45653.142857142855,8186.81068199665
2020-06-13,United_States,39721,5,6,normal,43531.0,37993.0,45900.0,7939.659690439967
2020-06-14,United_States,33292,6,6,declining,39721.0,33629.0,45851.857142857145,8027.008314197
2020-06-15,United_States,32537,0,6,declining,33292.0,58265.0,42176.42857142857,7248.391243513666
2020-06-16,United_States,35797,1,6,declining,32537.0,46536.0,40642.28571428572,7308.113521155341
2020-06-17,United_States,62462,2,6,normal,35797.0,49784.0,42453.42857142857,10723.94875744839
2020-06-18,United_States,43922,3,6,normal,62462.0,49834.0,41608.857142857145,10268.959886125529
2020-06-19,United_States,40023,4,6,normal,43922.0,43531.0,41107.71428571428,10245.092511608998
2020-06-20,United_States,26525,5,6,declining,40023.0,39721.0,39222.57142857143,11659.243526877985
2020-06-21,United_States,25503,6,6,declining,26525.0,33292.0,38109.857142857145,12649.214658475414
2020-06-22,United_States,57572,0,6,normal,25503.0,32537.0,41686.28571428572,14248.965853870235
2020-06-23,United_States,55968,1,6,normal,57572.0,35797.0,44567.857142857145,14884.87860692369
2020-06-24,United_States,58041,2,6,normal,55968.0,62462.0,43936.28571428572,14070.60007858322
2020-06-25,United_States,47756,3,6,normal,58041.0,43922.0,44484.0,14144.37930769666
2020-06-26,United_States,50269,4,6,normal,47756.0,40023.0,45947.71428571428,14135.942861069638
2020-06-27,United_States,29892,5,6,declining,50269.0,26525.0,46428.71428571428,13403.195436341251
2020-06-28,United_States,31799,6,6,normal,29892.0,25503.0,47328.142857142855,11890.851573493548
2020-06-29,United_States,45290,0,6,normal,31799.0,57572.0,45573.57142857143,11000.165739011005
2020-06-30,United_States,56583,1,6,normal,45290.0,55968.0,45661.42857142857,11099.03312391271
2020-07-01,United_States,52245,2,7,normal,56583.0,58041.0,44833.42857142857,10201.484807894962
2020-07-02,United_States,45859,3,7,normal,52245.0,47756.0,44562.42857142857,10135.893643501711
2020-07-03,United_States,49848,4,7,normal,45859.0,50269.0,44502.28571428572,10097.565939609376
2020-07-04,United_States,29878,5,7,declining,49848.0,29892.0,44500.28571428572,10100.942888567024
2020-07-05,United_States,24457,6,7,declining,29878.0,31799.0,43451.42857142857,11866.509018481887
2020-07-06,United_States,47829,0,7,normal,24457.0,45290.0,43814.142857142855,11970.422387821358
2020-07-07,United_States,56136,1,7,normal,47829.0,56583.0,43750.28571428572,11891.88784724386
2020-07-08,United_States,44183,2,7,normal,56136.0,52245.0,42598.57142857143,11308.138144085087
2020-07-09,United_States,48118,3,7,normal,44183.0,45859.0,42921.28571428572,11448.061083494722
2020-07-10,United_States,50058,4,7,normal,48118.0,49848.0,42951.28571428572,11469.493126177213
2020-07-11,United_States,38833,5,7,normal,50058.0,29878.0,44230.57142857143,10197.13284633047
2020-07-12,United_States,31967,6,7,normal,38833.0,24457.0,45303.42857142857,7908.14990705021
2020-07-13,United_States,36260,0,7,normal,31967.0,47829.0,43650.71428571428,8480.544866816805
2020-07-14,United_States,55147,1,7,normal,36260.0,56136.0,43509.42857142857,8242.778068449492
2020-07-15,United_States,49920,2,7,normal,55147.0,44183.0,44329.0,8598.451294661392
2020-07-16,United_States,34008,3,7,normal,49920.0,48118.0,42313.28571428572,9195.333775241284
2020-07-17,United_States,52046,4,7,normal,34008.0,50058.0,42597.28571428572,9500.048380829072
2020-07-18,United_States,39168,5,7,normal,52046.0,38833.0,42645.142857142855,9478.744966653285
2020-07-19,United_States,33557,6,7,normal,39168.0,31967.0,42872.28571428572,9195.017540571978
2020-07-20,United_States,51295,0,7,normal,33557.0,36260.0,45020.142857142855,9148.923860734723
2020-07-21,United_States,47787,1,7,normal,51295.0,55147.0,43968.71428571428,8160.684156659873
2020-07-22,United_States,57505,2,7,normal,47787.0,49920.0,45052.28571428572,9479.58275654011
2020-07-23,United_States,60492,3,7,normal,57505.0,34008.0,48835.71428571428,9621.011237811326
2020-07-24,United_States,38292,4,7,normal,60492.0,52046.0,46870.857142857145,10240.625590079322
2020-07-25,United_States,29891,5,7,declining,38292.0,39168.0,45545.57142857143,11873.70582220977
2020-07-26,United_States,32429,6,7,normal,29891.0,33557.0,45384.42857142857,12069.563453264504
2020-07-27,United_States,48520,0,7,normal,32429.0,51295.0,44988.0,11887.269352827165
2020-07-28,United_States,39765,1,7,normal,48520.0,47787.0,43842.0,11958.923808882811
2020-07-29,United_States,44832,2,7,normal,39765.0,57505.0,42031.57142857143,10403.9585552349
2020-07-30,United_States,45930,3,7,normal,44832.0,60492.0,39951.28571428572,6994.894845868677
2020-07-31,United_States,51597,4,7,normal,45930.0,38292.0,41852.0,8176.712379271467
2020-08-01,United_States,35212,5,8,normal,51597.0,29891.0,42612.142857142855,7049.008332821592
2020-08-02,United_States,33466,6,8,normal,35212.0,32429.0,42760.28571428572,6806.039198493226
2020-08-03,United_States,36820,0,8,normal,33466.0,48520.0,41088.857142857145,6589.005853909615
2020-08-04,United_States,50881,1,8,normal,36820.0,39765.0,42676.857142857145,7494.122639966262
2020-08-05,United_States,54961,2,8,normal,50881.0,44832.0,44123.857142857145,8837.1385532604
2020-08-06,United_States,64823,3,8,normal,54961.0,45930.0,46822.857142857145,11851.65433499423
2020-08-07,United_States,48141,4,8,normal,64823.0,51597.0,46329.142857142855,11690.516433254246
2020-08-08,United_States,46207,5,8,normal,48141.0,35212.0,47899.857142857145,10639.259818060058
2020-08-09,United_States,26615,6,8,declining,46207.0,33466.0,46921.142857142855,12363.702498693
2020-08-10,United_States,46491,0,8,normal,26615.0,36820.0,48302.71428571428,11561.124479828597
2020-08-11,United_States,58330,1,8,normal,46491.0,50881.0,49366.857142857145,12165.043477502268
2020-08-12,United_States,53400,2,8,normal,58330.0,54961.0,49143.857142857145,12059.25233211083
2020-08-13,United_States,60180,3,8,normal,53400.0,64823.0,48480.57142857143,11146.26016289968
2020-08-14,United_States,53449,4,8,normal,60180.0,48141.0,49238.857142857145,11298.817687831493
2020-08-15,United_States,25394,5,8,declining,53449.0,46207.0,46265.57142857143,14511.384873690658
2020-08-16,United_States,41161,6,8,normal,25394.0,26615.0,48343.57142857143,12063.490717272138
2020-08-17,United_States,45929,0,8,normal,41161.0,46491.0,48263.28571428572,12079.734154280548
2020-08-18,United_States,46959,1,8,normal,45929.0,58330.0,46638.857142857145,11235.441771889558
2020-08-19,United_States,47585,2,8,normal,46959.0,53400.0,45808.142857142855,10860.957913992712
2020-08-20,United_States,56123,3,8,normal,47585.0,60180.0,45228.57142857143,10043.713786197055
2020-08-21,United_States,49110,4,8,normal,56123.0,53449.0,44608.71428571428,9574.772420520458
2020-08-22,United_States,28074,5,8,declining,49110.0,25394.0,44991.57142857143,8691.212762653524
2020-08-23,United_States,26034,6,8,declining,28074.0,41161.0,42830.57142857143,11293.433680051066
2020-08-24,United_States,54549,0,8,normal,26034.0,45929.0,44062.0,12126.804058228368
2020-08-25,United_States,44586,1,8,normal,54549.0,46959.0,43723.0,12065.3345028915
2020-08-26,United_States,52457,2,8,normal,44586.0,47585.0,44419.0,12459.337729858034
2020-08-27,United_States,63911,3,8,normal,52457.0,56123.0,45531.57142857143,13938.557563549326
2020-08-28,United_States,55064,4,8,normal,63911.0,49110.0,46382.142857142855,14368.356800374015
2020-08-29,United_States,33567,5,8,normal,55064.0,28074.0,47166.857142857145,13313.072640936582
2020-08-30,United_States,16285,6,8,declining,33567.0,26034.0,45774.142857142855,16108.700014056201
2020-08-31,United_States,53927,0,8,normal,16285.0,54549.0,45685.28571428572,16053.852026998351
2020-09-01,United_States,59146,1,9,normal,53927.0,44586.0,47765.28571428572,16812.964191502902
2020-09-02,United_States,56923,2,9,normal,59146.0,52457.0,48403.28571428572,17102.90827816794
2020-09-03,United_States,83734,3,9,trending,56923.0,63911.0,51235.142857142855,21239.472273956973
2020-09-04,United_States,56024,4,9,normal,83734.0,55064.0,51372.28571428572,21271.390972495392
2020-09-05,United_States,37789,5,9,normal,56024.0,33567.0,51975.42857142857,20735.490612772523
2020-09-06,United_States,43642,6,9,normal,37789.0,16285.0,55883.57142857143,14540.103746272822
2020-09-07,United_States,54961,0,9,normal,43642.0,53927.0,56031.28571428572,14522.155093904781
2020-09-08,United_States,76431,1,9,trending,54961.0,59146.0,58500.57142857143,16477.880252600557
2020-09-09,United_States,56756,2,9,normal,76431.0,56923.0,58476.71428571428,16480.665639007355
2020-09-10,United_States,73511,3,9,normal,56756.0,83734.0,57016.28571428572,14158.880272515355
2020-09-11,United_States,47409,4,9,normal,73511.0,56024.0,55785.57142857143,14626.209623561977
2020-09-12,United_States,30896,5,9,declining,47409.0,37789.0,54800.857142857145,16188.38366883859
2020-09-13,United_States,42335,6,9,normal,30896.0,43642.0,54614.142857142855,16345.315643210646
2020-09-14,United_States,72261,0,9,normal,42335.0,54961.0,57085.57142857143,17661.406152560736
2020-09-15,United_States,72621,1,9,normal,72261.0,76431.0,56541.28571428572,17012.651221118493
2020-09-16,United_States,57014,2,9,normal,72621.0,56756.0,56578.142857142855,17013.473370915566
2020-09-17,United_States,61060,3,9,normal,57014.0,73511.0,54799.42857142857,15534.736762678358
2020-09-18,United_States,60936,4,9,normal,61060.0,47409.0,56731.857142857145,15301.783070703004
2020-09-19,United_States,41829,5,9,normal,60936.0,30896.0,58293.71428571428,12532.592465438172
2020-09-20,United_States,55533,6,9,normal,41829.0,42335.0,60179.142857142855,10570.811533472062
2020-09-21,United_States,72607,0,9,normal,55533.0,72261.0,60228.57142857143,10637.32107342084
2020-09-22,United_States,65641,1,9,normal,72607.0,72621.0,59231.42857142857,9554.036125413695
2020-09-23,United_States,65939,2,9,normal,65641.0,57014.0,60506.42857142857,9801.129082187917
2020-09-24,United_States,53135,3,9,normal,65939.0,61060.0,59374.28571428572,10177.033567699915
2020-09-25,United_States,48275,4,9,normal,53135.0,60936.0,57565.57142857143,10949.02684955959
2020-09-26,United_States,36369,5,9,declining,48275.0,41829.0,56785.57142857143,12360.442910849793
2020-09-27,United_States,35995,6,9,declining,36369.0,55533.0,53994.42857142857,14678.946770313958
2020-09-28,United_States,60317,0,9,normal,35995.0,72607.0,52238.71428571428,12680.682391131737
2020-09-29,United_States,68167,1,9,normal,60317.0,65641.0,52599.57142857143,13152.792692772291
2020-09-30,United_States,58611,2,9,normal,68167.0,65939.0,51552.71428571428,12168.95834646877
2020-10-01,United_States,68978,3,10,normal,58611.0,53135.0,53816.0,13867.113386233743
2020-10-02,United_States,61802,4,10,normal,68978.0,48275.0,55748.42857142857,13908.717624295099
2020-10-03,United_States,43264,5,10,normal,61802.0,36369.0,56733.42857142857,12478.125431558632
2020-10-04,United_States,28908,6,10,declining,43264.0,35995.0,55721.0,14555.747203996874
2020-10-05,United_States,58685,0,10,normal,28908.0,60317.0,55487.857142857145,14482.749801385095
2020-10-06,United_States,56451,1,10,normal,58685.0,68167.0,53814.142857142855,13410.555512090226
2020-10-07,United_States,65943,2,10,normal,56451.0,58611.0,54861.57142857143,14115.46188708363
2020-10-08,United_States,49780,3,10,normal,65943.0,68978.0,52119.0,12710.720619487445
2020-10-09,United_States,49743,4,10,normal,49780.0,61802.0,50396.28571428572,11975.566704952162
2020-10-10,United_States,34373,5,10,declining,49743.0,43264.0,49126.142857142855,13260.646872463936
2020-10-11,United_States,46694,6,10,normal,34373.0,28908.0,51667.0,10058.320486045208
2020-10-12,United_States,55177,0,10,normal,46694.0,58685.0,51165.857142857145,9732.49396658023
2020-10-13,United_States,47881,1,10,normal,55177.0,56451.0,49941.57142857143,9492.927680772562
2020-10-14,United_States,56404,2,10,normal,47881.0,65943.0,48578.857142857145,7227.406068306089
2020-10-15,United_States,62713,3,10,normal,56404.0,49780.0,50426.42857142857,9017.104114905434
2020-10-16,United_States,67498,4,10,normal,62713.0,49743.0,52962.857142857145,11058.828952900949
2020-10-17,United_States,53220,5,10,normal,67498.0,34373.0,55655.28571428572,7500.281321707739
2020-10-18,United_States,41779,6,10,normal,53220.0,46694.0,54953.142857142855,8624.779715613224
2020-10-19,United_States,80066,0,10,normal,41779.0,55177.0,58508.71428571428,12835.05496305947
2020-10-20,United_States,53268,1,10,normal,80066.0,47881.0,59278.28571428572,12239.300833983836
2020-10-21,United_States,60428,2,10,normal,53268.0,56404.0,59853.142857142855,12176.137926679346
2020-10-22,United_States,62285,3,10,normal,60428.0,62713.0,59792.0,12160.44808659048
2020-10-23,United_States,56318,4,10,normal,62285.0,67498.0,58194.857142857145,11705.334744302963
2020-10-24,United_States,41036,5,10,normal,56318.0,53220.0,56454.28571428572,13357.639645714276
2020-10-25,United_States,33220,6,10,declining,41036.0,41779.0,55231.57142857143,15190.797826942591
2020-10-26,United_States,71306,0,10,normal,33220.0,80066.0,53980.142857142855,13007.9330208987
2020-10-27,United_States,65644,1,10,normal,71306.0,53268.0,55748.142857142855,13716.751175461333
2020-10-28,United_States,71715,2,10,normal,65644.0,60428.0,57360.57142857143,14965.157086347053
2020-10-29,United_States,51148,3,10,normal,71715.0,62285.0,55769.57142857143,14946.36321269192
2020-10-30,United_States,77721,4,10,normal,51148.0,56318.0,58827.142857142855,17109.86986535898
2020-10-31,United_States,36133,5,10,declining,77721.0,41036.0,58126.71428571428,18034.92461599875
